# restwave bluenorm blueerr rednorm rederr
981.428 0.639 0.084 0.548 0.073
981.560 0.544 0.083 0.519 0.073
981.691 0.372 0.083 0.606 0.075
981.823 0.599 0.086 0.794 0.077
981.955 0.744 0.087 0.633 0.076
982.086 0.733 0.086 0.766 0.076
982.218 0.649 0.084 0.801 0.076
982.350 0.607 0.084 0.906 0.078
982.482 0.779 0.087 0.830 0.078
982.613 0.721 0.088 0.863 0.078
982.745 0.757 0.088 0.858 0.078
982.877 0.813 0.087 0.818 0.077
983.008 0.750 0.085 0.742 0.075
983.140 0.662 0.084 0.614 0.073
983.272 0.658 0.085 0.547 0.074
983.404 0.501 0.085 0.627 0.076
983.535 0.633 0.086 0.680 0.077
983.667 0.584 0.086 0.593 0.076
983.799 0.428 0.084 0.444 0.076
983.930 0.362 0.083 0.333 0.075
984.062 0.371 0.083 0.471 0.074
984.194 0.594 0.084 0.607 0.075
984.326 0.582 0.083 0.595 0.074
984.457 0.614 0.083 0.462 0.073
984.589 0.631 0.084 0.765 0.074
984.721 0.523 0.084 0.466 0.073
984.852 0.239 0.082 0.360 0.073
984.984 0.459 0.084 0.464 0.074
985.116 0.620 0.085 0.453 0.075
985.248 0.331 0.085 0.592 0.076
985.379 0.371 0.086 0.453 0.076
985.511 0.367 0.086 0.152 0.075
985.643 0.270 0.084 0.035 0.073
985.774 0.121 0.082 0.184 0.073
985.906 0.207 0.083 0.148 0.074
986.038 0.158 0.083 0.358 0.076
986.170 0.260 0.083 0.619 0.075
986.301 0.360 0.083 0.480 0.074
986.433 0.423 0.083 0.380 0.073
986.565 0.232 0.081 0.366 0.073
986.697 0.213 0.080 0.175 0.071
986.828 0.247 0.079 0.280 0.070
986.960 0.461 0.080 0.358 0.069
987.092 0.447 0.080 0.487 0.070
987.223 0.389 0.082 0.361 0.071
987.355 0.253 0.083 0.229 0.072
987.487 0.275 0.082 0.210 0.071
987.619 0.138 0.077 0.197 0.068
987.750 0.079 0.074 0.113 0.066
987.882 -0.013 0.074 0.165 0.066
988.014 -0.068 0.075 0.096 0.066
988.145 0.070 0.076 0.164 0.069
988.277 0.126 0.079 0.132 0.070
988.409 0.071 0.079 -0.022 0.069
988.541 0.120 0.078 0.026 0.068
988.672 0.243 0.077 0.104 0.067
988.804 0.109 0.075 0.049 0.066
988.936 -0.003 0.074 0.003 0.066
